No,Title,Full Name,First Name,Last Name,Party,Profession,Birthplace,Marital Status,Constituency,Constituency Info,Profile URL,Homepage,Facebook,Instagram,TikTok,X,Mastodon,YouTube,Bluesky,LinkedIn,Threads,Telegram,Youtube,Gettr,Odyssee,Rumble,Xing,Twitch,WhatsApp,Tiktok,Linkedin,TiKTOK,LindedIn,Blog,Spotify,BlueSky,https://,Instgagram,Theads,Instgram,Telegramm,homepage
1,,Sanae Abdi,Sanae,Abdi,SPD,Vertrags- und Finanzmanagerin,"Tetouan, Marokko; ledig.",ledig,Nordrhein-Westfalen,Wahlkreis 092: Köln I,https://www.bundestag.de/abgeordnete/biografien/A/abdi_sanae-1043330,https://www.sanaeabdi.de,https://www.facebook.com/sanaeabdispd,https://www.instagram.com/sanae_ccaa/,https://www.tiktok.com/discover/sanae-abdi,https://twitter.com/_sanaeabdi,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Jan van Aken,Jan van,Aken,Die Linke,Biologe,Reinbek.,geschieden,Hamburg,,https://www.bundestag.de/abgeordnete/biografien/A/aken_jan-1043380,https://jan-van-aken.com/,,https://www.instagram.com/jan.aken/,,,https://mastodon.social/@vanaken,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Knut Abraham,Knut,Abraham,CDU/CSU,Diplomat,Hamburg; evangelisch-lutherisch; verheiratet; fünf Kinder.,verheiratet,Brandenburg,Wahlkreis 065: Elbe-Elster – Oberspreewald-Lausitz,https://www.bundestag.de/abgeordnete/biografien/A/abraham_knut-1043342,https://Knut-Abraham.de,https://facebook.com/knut.abraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Tarek Al-Wazir,Tarek,Al-Wazir,Bündnis 90/Die Grünen,Diplom-Politologe,Offenbach am Main; verheiratet; zwei Kinder.,verheiratet,Hessen,Wahlkreis 184: Offenbach,https://www.bundestag.de/abgeordnete/biografien/A/al_wazir_tarek-1043422,https://www.al-wazir.de,https://www.facebook.com/tarekalwazir.gruene,https://www.instagram.com/tarekalwazir,,https://www.x.com/talwazir,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Doris Achelwilm,Doris,Achelwilm,Die Linke,Angestellte,Thuine.,geschieden,Bremen,Wahlkreis 054: Bremen I,https://www.bundestag.de/abgeordnete/biografien/A/achelwilm_doris-1043346,https://www.doris-achelwilm.de,https://www.facebook.com/doris.achelwilm.dielinke/,https://www.instagram.com/doris_achelwilm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Reem Alabali-Radovan,Reem,Alabali-Radovan,SPD,Politikwissenschaftlerin,"Moskau, Russland; verheiratet.",verheiratet,Mecklenburg-Vorpommern,Wahlkreis 012: Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,https://www.bundestag.de/abgeordnete/biografien/A/alabali_radovan_reem-1043386,https://reem-alabali-radovan.de/,https://www.facebook.com/reem.alabaliradovan,https://www.instagram.com/reem.alabaliradovan/,,https://twitter.com/ReemAlabali,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Anna Aeikens,Anna,Aeikens,CDU/CSU,selbständige Agrarökonomin,Magdeburg; evangelisch; ledig.,ledig,Sachsen-Anhalt,Wahlkreis 067: Börde – Salzlandkreis,https://www.bundestag.de/abgeordnete/biografien/A/aeikens_anna-1043358,https://www.anna-aeikens.de,https://www.facebook.com/anna.aeikens/,https://www.instagram.com/anna_aeikens/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Stephan Albani,Stephan,Albani,CDU/CSU,Diplom-Physiker,Göttingen; evangelisch-lutherisch; verheiratet; drei Kinder.,verheiratet,Niedersachsen,Wahlkreis 027: Oldenburg – Ammerland,https://www.bundestag.de/abgeordnete/biografien/A/albani_stephan-1043390,http://www.stephan-albani.de,https://www.facebook.com/StephanAlbaniMdB,https://www.instagram.com/stephanalbanimdb/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,Adis Ahmetović,Adis,Ahmetović,SPD,,Hannover; ledig.,ledig,Niedersachsen,Wahlkreis 041: Stadt Hannover I,https://www.bundestag.de/abgeordnete/biografien/A/ahmetovic_adis-1043370,http://www.adis-ahmetovic.de,http://www.facebook.de/AdisAhmetovic.SPD,http://www.instagram.de/adis.a93,https://www.tiktok.com/discover/adis-ahmetovic-hannover,,,https://www.youtube.com/@adis.a93,,,,,,,,,,,,,,,,,,,,,,,,
10,Dr.,Alaa Alhamwi,Alaa,Alhamwi,Bündnis 90/Die Grünen,Wissenschaftler,Damaskus (Syrien).,geschieden,Niedersachsen,Wahlkreis 027: Oldenburg – Ammerland,https://www.bundestag.de/abgeordnete/biografien/A/alhamwi_alaa-1043402,https://alaa-alhamwi.de/,,https://www.instagram.com/dr.alaa.alhamwi/,https://www.tiktok.com/@alhamwi.alaa,,,http://www.youtube.com/@Dr.AlaaAlhamwi,https://bsky.app/profile/alaa-alhamwi.bsky.social,https://de.linkedin.com/in/dr-alaa-alhamwi-08006b9b,,,,,,,,,,,,,,,,,,,,,,
